,angle
0,93.745
1,94.150
2,93.543
3,93.847
4,94.049
5,94.353
6,94.049
7,94.049
8,94.353
9,95.061
10,94.758
11,94.656
12,93.948
13,93.543
14,94.150
15,93.644
16,93.037
17,92.125
18,92.935
19,92.227
20,91.417
21,91.214
22,90.809
23,90.506
24,89.696
25,88.987
26,88.582
27,88.076
28,87.874
29,87.772
30,88.177
31,86.962
32,88.481
33,85.545
34,85.241
35,85.444
36,85.849
37,84.229
38,84.128
39,83.115
40,81.901
41,81.496
42,81.597
43,81.091
44,80.787
45,78.965
46,79.370
47,77.851
48,77.345
49,76.839
50,77.750
51,76.839
52,77.750
53,76.535
54,75.118
55,75.219
56,73.498
57,74.004
58,72.283
59,72.182
60,72.080
61,70.663
62,69.550
63,68.638
64,68.132
65,68.031
66,66.107
67,66.411
68,66.107
69,64.994
70,66.006
71,62.868
72,62.868
73,60.539
74,60.337
75,61.147
76,58.616
77,59.932
78,57.300
79,56.895
80,57.199
81,54.668
82,53.757
83,56.186
84,52.339
85,50.922
86,51.934
87,52.238
88,52.643
89,47.682
90,46.670
91,46.164
92,44.139
93,44.341
94,43.633
95,42.924
96,44.240
97,41.001
98,39.887
99,40.798
100,38.571
101,38.166
102,37.660
103,36.850
104,36.040
105,34.926
106,34.420
107,34.623
108,33.712
109,32.092
110,30.168
111,30.877
112,29.257
113,29.358
114,27.334
115,26.422
116,27.334
117,25.815
118,24.803
119,25.916
120,24.499
121,23.082
122,25.714
123,23.993
124,26.524
125,21.361
126,18.931
127,17.817
128,17.412
129,16.197
130,16.602
131,15.286
132,14.274
133,17.007
134,11.642
135,13.667
136,12.047
137,11.034
138,15.084
139,8.807
140,12.755
141,8.098
142,7.491
143,7.997
144,9.617
145,8.605
146,4.150
147,5.568
148,4.758
149,3.847
150,4.353
151,3.442
152,8.200
153,4.150
154,2.530
